first_day_in_week,last_day_in_week,ONE_main_symb_weekly_mean_diff,ENRG.TA_weekly_mean_diff_0.35,ICCM.TA_weekly_mean_diff_0.36,JBNK.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,234.0,9.779998779296875,0.29954071044921876,3.4199951171875
2019-03-17,2019-03-23,-106.0,5.9800048828125,-0.5192001342773438,1.560009765625
2019-03-24,2019-03-30,-30.0,-2.32000732421875,-1.0583602905273437,-3.34000244140625
2019-03-31,2019-04-06,224.0,0.9800048828125,-2.1167205810546874,3.45999755859375
2019-04-07,2019-04-13,92.0,2.2199951171875,0.53916015625,1.05999755859375
2019-04-14,2019-04-20,90.0,-0.0199951171875,-0.1197998046875,10.82000732421875
2019-04-21,2019-04-27,-136.0,6.15999755859375,0.0399200439453125,3.0199951171875
2019-04-28,2019-05-04,-50.0,-1.1800048828125,-1.1582000732421875,-1.4199951171875
2019-05-05,2019-05-11,88.0,3.7800048828125,1.118280029296875,0.6199951171875
2019-05-12,2019-05-18,394.0,5.54000244140625,-2.2365402221679673,0.74000244140625
2019-05-19,2019-05-25,312.0,-0.2800048828125,-0.07987976074218892,2.1199951171875
2019-05-26,2019-06-01,-156.0,-0.47999267578125,-0.4393196105957031,-10.0
2019-06-02,2019-06-08,-14.0,4.2,1.0982994079589843,-9.8
2019-06-09,2019-06-15,58.0,-0.5800048828125,-0.8986000061035171,0.02000732421875
2019-06-16,2019-06-22,32.0,5.2800048828125,-0.31949996948242043,8.539990234375
2019-06-23,2019-06-29,220.0,3.9199951171875,1.777239990234375,3.060009765625
2019-06-30,2019-07-06,-58.0,3.9800048828125,0.6589797973632813,2.3199951171875
2019-07-07,2019-07-13,148.0,0.0,-1.058359527587892,-2.35999755859375
2019-07-14,2019-07-20,106.0,-5.3,0.53916015625,2.45999755859375
2019-07-21,2019-07-27,-54.0,1.25999755859375,-0.818740081787108,-9.05999755859375
2019-07-28,2019-08-03,-88.0,-4.14000244140625,-0.1197998046875,3.27999267578125
2019-08-04,2019-08-10,116.0,15.1800048828125,0.0,0.02000732421875
2019-08-11,2019-08-17,378.0,-10.62000732421875,-0.619040679931642,4.25999755859375
2019-08-18,2019-08-24,16.0,21.64000244140625,-0.3195198059082017,2.95999755859375
2019-08-25,2019-08-31,-110.0,0.0,0.47926025390625,-7.5199951171875
2019-09-01,2019-09-07,48.0,3.7800048828125,0.698919677734375,3.14000244140625
2019-09-08,2019-09-14,202.5,-19.7800048828125,0.3394805908203125,-0.1
2019-09-15,2019-09-21,86.0,11.475006103515625,-0.3763008117675781,3.5749969482421875
2019-09-22,2019-09-28,-705.0,9.2199951171875,-0.01999969482421875,4.0
2019-09-29,2019-10-05,226.66666666666663,-3.850006103515625,-0.8500003814697266,-4.25
2019-10-06,2019-10-12,-6.666666666666668,13.866678873697916,-0.16666666666666666,5.23333740234375
2019-10-13,2019-10-19,200.0,-1.9666748046875,0.0,2.79998779296875
2019-10-20,2019-10-26,120.0,7.866658528645833,-0.1999994913736979,-0.0333251953125
2019-10-27,2019-11-02,-72.0,4.14000244140625,-0.8,-4.74000244140625
2019-11-03,2019-11-09,-128.0,2.5599975585937726,0.7400001525878892,1.65999755859375
2019-11-10,2019-11-16,304.0,-9.219995117187523,0.039999389648438924,-0.2199951171875
2019-11-17,2019-11-23,-120.0,8.8,-0.37999954223632815,-0.34000244140625
2019-11-24,2019-11-30,72.0,7.6,-0.4,-6.1800048828125
2019-12-01,2019-12-07,194.0,-3.580004882812477,0.37999954223632815,7.3800048828125
2019-12-08,2019-12-14,66.0,4.9,-0.4,3.4
2019-12-15,2019-12-21,-48.0,-0.6,0.020000457763671875,3.0199951171875
2019-12-22,2019-12-28,84.0,12.680004882812478,2.2199996948242187,5.8800048828125
2019-12-29,2020-01-04,10.0,10.4,1.679999542236328,-4.8800048828125
2020-01-05,2020-01-11,182.0,16.6,-0.579998779296875,7.9800048828125
2020-01-12,2020-01-18,-2.0,11.0,1.179998779296875,1.3
2020-01-19,2020-01-25,-118.0,-1.4,0.6400009155273437,0.85999755859375
2020-01-26,2020-02-01,-190.0,1.4,-1.3,-0.7
2020-02-02,2020-02-08,-6.0,-2.0,0.18000030517578125,-9.57999267578125
2020-02-09,2020-02-15,-102.0,6.4,-1.0,2.55999755859375
2020-02-16,2020-02-22,-482.0,3.8,-0.040000915527340905,-1.72000732421875
2020-02-23,2020-02-29,-575.0,-13.0,-1.2000000000000028,-7.0
2020-03-01,2020-03-07,-562.5,-9.75,-0.375,-8.349990844726562
2020-03-08,2020-03-14,120.0,-57.0,-3.8999996185302734,-33.350006103515625
2020-03-15,2020-03-21,634.0,19.6,-1.4599998474121094,-18.64000244140625
2020-03-22,2020-03-28,96.0,-1.0,0.8799995422363281,11.1
2020-03-29,2020-04-04,566.6666666666666,-0.4,1.8,11.360009765625
2020-04-05,2020-04-11,-133.33333333333334,38.666666666666664,2.100001017252602,7.866658528645833
2020-04-12,2020-04-18,-72.0,24.333333333333332,-1.9000002543131487,5.099995930989583
2020-04-19,2020-04-25,750.0,-17.8,3.2599998474121095,12.0800048828125
2020-04-26,2020-05-02,-120.0,33.333333333333336,0.3333333333333333,-3.23333740234375
2020-05-03,2020-05-09,-42.0,-7.2,-0.2,0.7
2020-05-10,2020-05-16,286.0,3.2,-1.4599998474121094,-5.9
2020-05-17,2020-05-23,-302.5,30.8,1.4599998474121094,5.5
2020-05-24,2020-05-30,154.0,-2.5,-0.5499992370605469,-5.4250030517578125
2020-05-31,2020-06-06,147.5,9.2,-0.3000007629394531,2.1800048828125
2020-06-07,2020-06-13,388.0,20.5,-0.22499942779541193,6.6999969482421875
2020-06-14,2020-06-20,-362.0,-4.4,-0.42000045776367045,-5.8199951171875
2020-06-21,2020-06-27,-143.999755859375,-17.6,-0.47999954223632957,1.07999267578125
2020-06-28,2020-07-04,-574.000244140625,-269.65599994659425,-11.566200304031371,-151.43279752731323
2020-07-05,2020-07-11,696.0,262.45599994659426,11.28619999885559,135.83279752731323
2020-07-12,2020-07-18,112.0,10.4,-0.1,3.95999755859375
2020-07-19,2020-07-25,-397.5,2.0,1.5199996948242216,0.8800048828125
