first_day_in_week,last_day_in_week,ISCN_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.45,SHGR.TA_weekly_mean_diff_0.45,HOD.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,3.6,0.0,4.6,7.999992370605469
2019-03-17,2019-03-23,0.7599975585937614,26.0,27.8,-0.7999992370605469
2019-03-24,2019-03-30,-0.7199951171875114,38.0,-8.6,-11.599998474121094
2019-03-31,2019-04-06,4.319995117187512,262.0,15.2,-40.19998550415039
2019-04-07,2019-04-13,1.0400024414062383,-14.0,1.0,-3.200016021728561
2019-04-14,2019-04-20,-1.620001220703125,56.0,-1.0,-4.200000762939408
2019-04-21,2019-04-27,-1.3,-14.0,4.4,1.4000129699706576
2019-04-28,2019-05-04,-0.7200012207031137,-96.0,-14.4,3.7999916076660156
2019-05-05,2019-05-11,-3.0799987792968864,-24.0,3.4,5.7999992370606375
2019-05-12,2019-05-18,3.9,-138.0,-3.2,0.2000045776366733
2019-05-19,2019-05-25,3.54000244140625,40.0,-17.8,7.999992370605469
2019-05-26,2019-06-01,-7.220001220703125,86.0,6.8,-3.599987030029342
2019-06-02,2019-06-08,1.2,86.0,3.6,-13.400001525878816
2019-06-09,2019-06-15,1.620001220703125,44.0,8.0,-4.400005340576217
2019-06-16,2019-06-22,3.85999755859375,42.0,3.4,-7.000007629394531
2019-06-23,2019-06-29,6.779998779296887,48.0,-2.2,13.200016021728562
2019-06-30,2019-07-06,6.320001220703113,-44.0,-6.0,5.1999855041503
2019-07-07,2019-07-13,-4.139996337890625,-68.0,-5.2,-12.199993133544876
2019-07-14,2019-07-20,-0.7800048828124886,30.0,4.0,-3.4000015258789062
2019-07-21,2019-07-27,11.64000244140624,76.0,-14.8,7.800006866455033
2019-07-28,2019-08-03,7.140002441406227,158.0,-10.6,-7.20001220703125
2019-08-04,2019-08-10,-2.7400024414062267,486.0,-0.2,-8.79999160766597
2019-08-11,2019-08-17,-2.359997558593773,-40.0,-3.4,4.799995422363236
2019-08-18,2019-08-24,-6.620001220703102,278.0,17.4,10.200004577636765
2019-08-25,2019-08-31,9.379998779296878,-212.0,11.2,-6.000003814697266
2019-09-01,2019-09-07,0.7,-210.0,-12.6,7.20001220703125
2019-09-08,2019-09-14,10.625,-14.0,8.4,15.799999237060547
2019-09-15,2019-09-21,5.0,102.5,-4.5,11.500000953674316
2019-09-22,2019-09-28,-3.29998779296875,282.0,5.2,6.399993896484375
2019-09-29,2019-10-05,18.866658528645832,480.0,-6.0,13.99998664855957
2019-10-06,2019-10-12,5.599995930989582,110.0,8.333333333333334,-11.666647593180338
2019-10-13,2019-10-19,-4.599995930989583,46.666666666666664,17.333333333333332,-8.000024159749273
2019-10-20,2019-10-26,0.0,-13.333333333333334,-7.666666666666667,-3.9999961853028103
2019-10-27,2019-11-02,-9.0,-8.0,-5.6,-20.200004577636765
2019-11-03,2019-11-09,-4.4,-220.0,-1.8,-15.799999237060547
2019-11-10,2019-11-16,9.4,48.0,-6.2,4.8000144958497
2019-11-17,2019-11-23,-2.45999755859375,-58.0,2.2,0.5999946594237826
2019-11-24,2019-11-30,-5.54000244140625,132.0,-21.6,12.999992370605515
2019-12-01,2019-12-07,1.7800048828125,56.0,-1.0,5.0
2019-12-08,2019-12-14,16.2199951171875,166.0,-0.4,41.00000381469722
2019-12-15,2019-12-21,12.6,124.0,13.0,-7.999992370605469
2019-12-22,2019-12-28,14.94000244140625,-68.0,-1.4,23.99997711181627
2019-12-29,2020-01-04,0.25999755859375,106.0,5.0,-3.40000152587877
2020-01-05,2020-01-11,-3.6,104.0,7.8,-7.79998779296875
2020-01-12,2020-01-18,-3.0199951171875,-26.0,-4.2,5.600013732910156
2020-01-19,2020-01-25,0.55999755859375,-38.0,2.4,13.800010681152344
2020-01-26,2020-02-01,-4.52000732421875,-100.0,-9.8,8.199996948242188
2020-02-02,2020-02-08,-10.4199951171875,174.0,-17.2,-29.600009918212937
2020-02-09,2020-02-15,11.8,-94.0,14.8,9.200000762939363
2020-02-16,2020-02-22,-15.2,218.0,-8.8,-8.600006103515488
2020-02-23,2020-02-29,-13.75,-426.0,-20.0,-25.400009155273438
2020-03-01,2020-03-07,-35.25,-472.5,-31.074996948242188,-22.999978065490723
2020-03-08,2020-03-14,-26.05999755859375,-1332.5,-38.67500305175781,-82.50000476837158
2020-03-15,2020-03-21,27.05999755859375,-124.0,17.15999755859375,-11.35999679565432
2020-03-22,2020-03-28,4.5199951171875,618.0,35.84000244140625,2.1799850463867188
2020-03-29,2020-04-04,13.20001220703125,342.0,3.4,22.580013275146463
2020-04-05,2020-04-11,-15.500000000000036,-240.0,-7.666666666666667,34.333324432373125
2020-04-12,2020-04-18,-4.199999999999977,43.333333333333336,8.0,5.3333282470703125
2020-04-19,2020-04-25,24.099995930989586,-224.0,19.8,21.60000228881836
2020-04-26,2020-05-02,-8.2,316.6666666666667,12.333333333333334,-10.666666666666666
2020-05-03,2020-05-09,-11.620001220703125,-394.0,-10.2,0.6
2020-05-10,2020-05-16,6.500006103515625,186.0,-15.8,-21.8
2020-05-17,2020-05-23,-6.750007629394531,-28.0,14.0,5.2
2020-05-24,2020-05-30,-6.5,210.0,-11.5,5.5
2020-05-31,2020-06-06,19.62500762939453,268.0,2.2,15.8
2020-06-07,2020-06-13,-7.2800048828125,-72.5,-11.75,-18.75
2020-06-14,2020-06-20,-16.55999755859375,-520.0,-22.6,-5.8
2020-06-21,2020-06-27,0.9599983215332144,-138.0,9.2,4.2
2020-06-28,2020-07-04,-11.540003204345705,-352.0,3.400002288818359,-10.600009155273437
2020-07-05,2020-07-11,4.680004882812488,-94.0,-3.2000022888183595,-7.399990844726562
2020-07-12,2020-07-18,11.079998779296877,298.0,45.0,-0.8
2020-07-19,2020-07-25,-8.875,6.0,16.8,-2.4
2020-07-26,2020-08-01,,445.0,-17.5,18.25
